category_id|parent_id|name
0205||Case/Matching Discounts-Wine
0500||Misc. Coupons
060||Gifts
0200||Wine Coupons
0300||Spirits Coupons
0100||Beer Coupons
c0050||Accessories & More
c0010||Beer
c0020||Wine
c0030||Spirits
999999||Deals
909090||Grand Reserve
69342961||New Arrivals
79620351420518||Gift Center
928889771||Buttery Chardonnay Products
200||BeerClass
100||WineClass
300||SpiritClass
400||CigarClass
050|400|Misc.
020|100|Wine
112|020|1.5L Sauv Blanc
030|300|Spirits
10|050|Unknown Items
111|020|1.5L Chard
114|020|1.5L Other White
110|020|Wine Large Format Lock Box
113|020|1.5L Pinot Grigio
010|200|Beer
117|020|1.5L Shiraz
115|020|1.5L Cabernet
118|020|1.5L Other Red
116|020|1.5L Merlot
120|020|Wine Primary 750 ML
130|020|Wine - France
126|020|Local Wine
135|020|Wine - Germany
150|020|Wine - Spain
140|020|Wine - Italy Red
170|020|Wine - Sparkling
160|020|Wine - Desert
190|020|Wine - White Zin./Beverage
172|020|French Champagne
180|020|Wine - 3L/4L
195|020|Wine (Misc)
1100|030|Spirits - Other
1110|010|Beer - Big Breweries
1120|010|Beer - Craft
1165|050|Cigars
1150|060|Gifts
1166|050|Other Beverages
1130|010|Beer - Imports
1170|050|Misc.
1204|020|Gewurztraminer/Riesling
1201|020|Chardonnay
1202|020|Sauvignon Blanc
1203|020|Chenin Blanc
1161|050|Food
1207|020|Misc White
1211|020|Pinot Noir
1212|020|Zinfandel
1213|020|Malbec
1214|020|Misc Red
1209|020|Cabernet Sauvignon
1208|020|Dry Rose
1215|020|Syrah/Shiraz
1210|020|Merlot
1320|020|Alsace
1310|020|Beaujolais
1300|020|Burgundy
1330|020|Loire
1340|020|Rhone
1360|020|White Bordeaux
1390|020|Pinot Grigio
1350|020|Bordeaux
1420|020|Port/Sherry
1380|020|Tuscany
1370|020|Piedmont
1410|020|Dessert
1440|020|French Champagne
1511|060|Glassware
1450|020|Box Wines
1880|0300|Liquor Coupons
1882|0100|Beer Coupons
1883|0500|Misc. Coupons
1881|0200|Wine Coupons
1890|0205|Case/Matching Discounts - Wine
1897|030|Spirits - Whisky Canadian
1899|030|Spirits - Cordials / Liqueurs
1898|030|Spirits - Gin
1902|030|Spirits - RTD
1903|030|Spirits - Vodka
1904|030|Spirits - Brandy
1905|030|Spirits - Rum
1906|030|Spirits - Tequila
1907|030|Spirits - Whiskey American
1908|030|Spirits - Whisky Scotch
1900|030|Spirits - Mixers
1909|020|Wine - Italy White
1910|020|Wine - Portugal
22|120|Wine Primary 750 ML
23|130|Wine - France
24|140|Wine - Italy Red
25|150|Wine - Spain
27|170|Wine - Sparkling
26|160|Wine - Desert
28|180|Wine - 3L/4L
29|190|Wine - White Zin./Beverage
210|1100|Spirits - Other
21|110|Wine Large Format Lock Box
212|1120|Beer - Craft
1911|010|Beer - Cider/Malt Bev/NAs
213|1130|Beer - Imports
215|1166|Other Beverages
214|1880|Liquor Coupons
216|1150|Accessories/Gifts - DO NOT USE - OLD
218|1170|Misc.
217|1161|Food (Not Cold)
219|1881|Wine Coupons
211|1110|Beer - Big Breweries
220|1882|Beer Coupons
222|10|Unknown Items
221|1883|Misc. Coupons
223|135|Wine - Germany
226|1161|Food (Cold Box)
224|1890|Case/Matching Discounts - Wine
225|1166|Water
227|1165|Cigars
230|195|Wine (Misc)
229|1166|Ice
231|1201|Chardonnay
228|1166|Coffee
232|1202|Sauvignon Blanc
234|1204|Gewurztraminer
233|1207|Chenin Blanc
235|1204|Riesling
236|1207|Viognier
237|1207|Misc White
239|1209|Cabernet Sauvignon
240|1210|Merlot
241|1211|Pinot Noir
242|1212|Zinfandel
243|1213|Malbec
244|1214|Misc Red
245|1215|Syrah/Shiraz
246|1300|Burgundy
